MC_cycle,Potentiel_energy (kJ/mol)
462.0,-154283.9216088598
463.0,-154283.9216088598
464.0,-154287.9544396006
465.0,-154287.9544396006
466.0,-154289.27269455197
467.0,-154290.57809538068
468.0,-154280.75175744214
469.0,-154288.13732398968
470.0,-154293.39973752608
471.0,-154292.6682080045
472.0,-154297.75384252242
473.0,-154295.8660502201
474.0,-154296.59417951258
475.0,-154292.7772214188
476.0,-154300.06973150268
477.0,-154299.469310571
478.0,-154298.84842256308
479.0,-154305.71216708783
480.0,-154306.49418724113
481.0,-154305.93818086517
482.0,-154305.09301170887
483.0,-154304.34697891344
484.0,-154302.949061919
485.0,-154302.9422274982
486.0,-154303.790287353
487.0,-154299.43302538674
488.0,-154297.85834652712
489.0,-154300.07126673093
490.0,-154300.04910100446
491.0,-154300.04910100446
492.0,-154297.68301327364
493.0,-154295.3264265186
494.0,-154297.4148716123
495.0,-154296.8505848592
496.0,-154296.87699612533
497.0,-154296.15200929152
498.0,-154299.33753872538
499.0,-154299.33313292585
500.0,-154303.41732950302
501.0,-154302.8054777518
502.0,-154299.08436911344
503.0,-154298.1043993478
504.0,-154296.26178493132
505.0,-154302.6537157894
506.0,-154303.2885482042
507.0,-154301.81702863742
508.0,-154301.10673823298
509.0,-154301.10673823298
510.0,-154299.58443317487
511.0,-154299.46482222647
512.0,-154299.74918422737
513.0,-154296.10615437428
514.0,-154296.7332526474
515.0,-154293.3284887717
516.0,-154295.32681176465
517.0,-154295.91149380317
518.0,-154297.74182007907
519.0,-154294.7729179932
520.0,-154292.3068833128
521.0,-154292.3068833128
522.0,-154295.42335453525
523.0,-154298.84855521194
524.0,-154298.84855521194
525.0,-154299.53761829756
526.0,-154299.88344713819
527.0,-154294.28209617233
528.0,-154294.4260211498
529.0,-154294.4260211498
530.0,-154292.80994386293
531.0,-154297.73115312826
532.0,-154299.2699751945
533.0,-154303.7467336908
534.0,-154301.88905525854
535.0,-154303.2958124144
536.0,-154306.11468318893
537.0,-154306.20646736206
538.0,-154304.5885883314
539.0,-154303.57480407643
540.0,-154305.37274346352
541.0,-154300.24195239175
542.0,-154301.9752328388
543.0,-154301.141338016
544.0,-154297.36854729927
545.0,-154296.07134023943
546.0,-154296.07134023943
547.0,-154296.07134023943
548.0,-154286.88809263255
549.0,-154283.9902138246
550.0,-154286.26555009192
551.0,-154282.953819765
552.0,-154277.24400249374
553.0,-154277.24400249374
554.0,-154289.15274761518
555.0,-154301.66396346592
556.0,-154301.66396346592
557.0,-154302.49924130092
558.0,-154303.77688308712
559.0,-154295.1018270573
560.0,-154290.09076346952
561.0,-154290.765125291
562.0,-154291.5457301913
563.0,-154291.5457301913
564.0,-154285.82545688518
565.0,-154280.01679043303
566.0,-154280.01679043303
567.0,-154280.01679043303
568.0,-154283.91707345113
569.0,-154283.91707345113
570.0,-154285.78988052244
571.0,-154283.6766523119
572.0,-154286.7339447322
573.0,-154286.92944149
574.0,-154285.83183054457
575.0,-154289.47893969802
576.0,-154287.49047238127
577.0,-154288.1431002731
578.0,-154296.29083425354
579.0,-154296.29083425354
580.0,-154296.01709902086
581.0,-154290.26392101112
582.0,-154291.44320544912
583.0,-154293.88918141916
584.0,-154291.50736014458
585.0,-154291.63187830205
586.0,-154291.0364275693
587.0,-154291.3056160763
588.0,-154295.465117628
589.0,-154299.23849721157
590.0,-154290.7005692402
591.0,-154296.58008410013
592.0,-154296.58008410013
593.0,-154288.1613251193
594.0,-154290.26013240096
595.0,-154291.59158703111
596.0,-154289.40897906883
597.0,-154291.48686605418
598.0,-154290.43772775182
599.0,-154296.06031206352
600.0,-154295.87594549643
601.0,-154293.75649719653
602.0,-154289.65182581055
603.0,-154290.4527114235
604.0,-154290.6362627503
605.0,-154290.87836448874
606.0,-154293.40624376052
607.0,-154290.51342605986
608.0,-154285.23400172152
609.0,-154285.5266446716
610.0,-154288.15463912656
611.0,-154288.15463912656
612.0,-154290.47454818644
613.0,-154296.4095962032
614.0,-154296.29890831624
615.0,-154291.786817984
616.0,-154288.75771668056
617.0,-154280.7351885395
618.0,-154287.99341692956
619.0,-154288.1437539184
620.0,-154286.62476105048
621.0,-154287.9831939085
622.0,-154287.01939907973
623.0,-154287.01939907973
624.0,-154286.88321229877
625.0,-154290.2310515697
626.0,-154292.27151316276
627.0,-154295.04183572182
628.0,-154296.0619638133
629.0,-154294.21951653666
630.0,-154294.22806325878
631.0,-154296.52298343912
632.0,-154294.3084264641
633.0,-154284.8053314415
634.0,-154285.09566919302
635.0,-154284.71833469026
636.0,-154284.864941661
637.0,-154286.9599388886
638.0,-154294.6887871639
639.0,-154294.93319994325
640.0,-154296.3148815939
641.0,-154296.3148815939
642.0,-154296.3148815939
643.0,-154300.66466933177
644.0,-154295.59247902836
645.0,-154297.6578392603
646.0,-154295.95221076612
647.0,-154290.20896755997
648.0,-154291.26673985465
649.0,-154292.6938822685
650.0,-154292.6938822685
651.0,-154293.47871401196
652.0,-154293.47871401196
653.0,-154289.96771518997
654.0,-154294.2964286618
655.0,-154298.83017838933
656.0,-154300.1431268822
657.0,-154295.3079488262
658.0,-154292.2679157282
659.0,-154288.05050739425
660.0,-154288.05050739425
661.0,-154287.72546418622
662.0,-154287.1600950826
663.0,-154291.12193616727
664.0,-154290.79939628066
665.0,-154290.8246748443
666.0,-154288.38359199837
667.0,-154287.686664793
668.0,-154288.347099143
669.0,-154295.68732893508
670.0,-154298.67615951778
671.0,-154297.20032159294
672.0,-154297.20032159294
673.0,-154294.4308773817
674.0,-154295.3353282908
675.0,-154295.12445706417
676.0,-154297.38816114803
677.0,-154299.3157844514
678.0,-154299.99345947267
679.0,-154285.11483972045
680.0,-154292.6390075992
681.0,-154296.20977778579
682.0,-154291.4436208988
683.0,-154291.3567253835
684.0,-154290.9163789678
685.0,-154291.49326409635
686.0,-154290.38325257765
687.0,-154291.9500044341
688.0,-154291.79684544567
689.0,-154292.5992099804
690.0,-154293.3746237461
691.0,-154297.23781936915
692.0,-154297.23781936915
693.0,-154296.43934023223
