Structures,K_Xe_widom,dK_Xe_widom,H_Xe_0_widom,dH_Xe_0_widom
NIMXAK_clean,0.000107881,6.08828e-07,-26.172470177355002,0.028994827071118428
NIMXIS_clean,1.80072e-05,4.30838e-08,-17.644004491647657,0.010923716977465626
NINHOH_clean,5.84035e-06,1.76456e-08,-13.447513043022571,0.006247788948117434
NINVAI_clean,0.000226215,4.70168e-06,-31.060832051223187,0.047743708689000894
NIRDAT_clean,0.000404085,6.76971e-06,-38.52652749532188,0.020797843213524757
NIRDEX_clean,1.73814e-18,4.51272e-20,44.280655893085836,0.08241302811588595
NIRDOI_clean,2.84976e-09,3.33896e-10,-12.450739332841943,0.1483959487378428
NIRFIE_clean,0.00515668,7.2972e-05,-40.27938408012898,0.031032256120486823
NIRGAY_clean,0.000118098,5.59165e-07,-23.843570196890706,0.019569388677588274
NIRKAB_clean,0.0161703,4.79821e-05,-37.54998764571158,0.003641906760239256
NIRMUW01_clean,0.000520411,9.53983e-06,-35.43732286617572,0.03535258345518822
NIRMUW_clean,0.000553907,3.89259e-06,-35.47326030974506,0.020629354538028208
NIRNAD_clean,0.000496028,3.17239e-06,-35.689904193073396,0.03395449876781126
NISBEX_clean,9.921e-06,6.62432e-07,-27.67616241414502,0.12137052158174101
NISCOJ_clean,0.000994556,1.05511e-05,-36.885733926414915,0.046036578366101165
NISPEL_charged,0.000509332,3.55729e-06,-31.64596136757107,0.02335690431439587
NISPOV_clean,0.000880722,1.44317e-05,-37.2463639258108,0.03799918021291297
NITADY_clean,1.15156e-07,4.79096e-09,-17.416754663947096,0.10197234443146244
NIVNOW_clean,6.89268e-05,9.2958e-07,-31.099230791940112,0.03856998289633604
NIVNUC_clean,7.1421e-05,1.88702e-06,-31.216588451801236,0.06796661772354964
NIVWIY_clean,3.36022e-06,4.7139e-08,-25.582013229946167,0.026748176323288558
NIVZOJ_clean,1.11681e-05,1.81339e-08,-15.822027539019148,0.019637652401176982
NIWPIU_clean,2.08313e-25,2.29533e-26,77.67690529611623,0.2844112938209968
NIWZIE09_clean,6.43635e-26,9.95343e-27,78.75515186248248,0.2727686668831393
NIWZIE10_clean,3.64127e-26,5.87368e-27,80.52005838622595,0.6268362010340428
NIWZIE11_clean,2.57036e-26,1.96252e-27,82.67850891047053,0.4452411698397076
NIWZIE12_clean,3.69235e-26,4.95825e-27,81.91839914908834,0.21667094809312173
NIWZIE13_clean,3.54201e-26,5.06352e-27,81.93239018288493,0.30818748353212483
NIWZIE14_clean,5.81734e-26,6.15474e-27,80.8158748570655,0.40078947665301684
NIWZIE15_clean,9.15678e-26,7.54354e-27,79.58013050714567,0.15445591731367286
NIWZIE16_clean,1.41468e-25,1.64612e-26,78.64115271825578,0.26070216732732326
NIWZIE17_clean,3.36167e-25,4.05386e-26,76.58614141540984,0.4054201998512293
NIWZIE18_clean,2.79651e-25,3.04108e-26,76.9616702358687,0.202982557849868
NIXFUX_clean,0.0237601,0.000556334,-43.424524429044745,0.09243465748010532
NIXGIM_clean,0.00280717,5.03674e-05,-37.66782588964109,0.04815319064088006
NIXKIQ_clean,0.000827573,2.01333e-05,-33.76416242740396,0.19488920779569963
NIXPOA_clean,0.000455752,7.94864e-06,-32.15265808625136,0.04468903442183878
NIYJAI_clean,0.000915332,8.51714e-06,-33.052594774810004,0.05217537542164825
NIYZIG_clean,0.000152856,6.83277e-07,-24.21548932257681,0.02987526483640857
NIZNAN_clean,0.00115204,1.25905e-05,-34.240522212999295,0.01576703425842403
NIZZAY_clean,4.03519e-05,2.68362e-07,-21.414312490926537,0.006208649328723371
NIZZEC_clean,3.65854e-05,1.64761e-07,-20.929995307894686,0.021978700793386288
NIZZIG_clean,3.79488e-05,1.56607e-07,-21.037452219725413,0.016921849986865196
NIZZOM_clean,3.47897e-05,2.40365e-07,-20.658888230650568,0.01957756357945704
NOBVOR_clean,0.000744071,8.22751e-06,-33.01483479315181,0.06326429964472689
