Structures,CPU_time (s)
c5cc04223b_c5cc04223b2_clean,56.43
c5cc06190c_c5cc06190c2_clean,96.22
c5cc09432a_c5cc09432a2_clean,149.77
c5cc09935h_c5cc09935h2_clean,162.15
c5cc10203k_c5cc10203k2_clean,165.76
c5ce00010f_c5ce00010f2_clean,401.58
c5ce00677e_c5ce00677e2_clean,115.22
c5ce00862j_c5ce00862j2_clean,203.5
c5ce00923e_c5ce00923e2_clean,186.09
c5ce00931f_c5ce00931f2_clean,110.59
c5ce01790d_c5ce01790d1_clean,349.86
c5ce01948f_c5ce01948f2_clean,151.4
c5ce02194d_c5ce02194d2_clean,240.41
c5ce02503f_c5ce02503f2_clean,572.2
c5cp03920g_c5cp03920g2_clean,109.98
c5dt00281h_c5dt00281h2_clean,86.57
c5dt01100k_c5dt01100k2_clean,159.9
c5dt02374b_c5dt02374b2_clean,79.02
c5dt02651b_c5dt02651b2_clean,179.03
c5dt03038b_c5dt03038b2_clean,115.78
c5dt03710g_c5dt03710g2_clean,124.96
c5dt04943a_c5dt04943a2_clean,143.74
c5dt05023e_c5dt05023e2_clean,131.05
c5gc02393a_c5gc02393a2_clean,193.2
c5nj01930c_c5nj01930c2_clean,197.45
c5nj02236c_c5nj02236c2_clean,221.35
c5nj02634b_c5nj02634b2_clean,193.43
c5nj03044g_c5nj03044g2_clean,216.12
c5qi00128e_c5qi00128e2_clean,113.79
c5sc00614g_c5sc00614g2_clean,407.75
c5sc03494a_c5sc03494a2_clean,167.36
c5ta03835a_c5ta03835a2_clean,216.42
c5ta04552e_c5ta04552e2_clean,153.59
c5ta04989j_c5ta04989j2_clean,157.33
c5ta05481h_c5ta05481h2_clean,337.57
c6cc00589f_c6cc00589f2_clean,178.09
c6cc00589f_c6cc00589f3_clean,59.43
c6cc00862c_c6cc00862c2_clean,141.22
c6cc01597b_c6cc01597b2_clean,123.3
c6cc02494g_c6cc02494g1_clean,182.08
c6cc02494g_c6cc02494g3_clean,188.62
c6cc02494g_c6cc02494g4_clean,182.07
c6cc02494g_c6cc02494g5_clean,160.49
c6cc02494g_c6cc02494g6_clean,184.97
c6ce00126b_c6ce00126b2_clean,175.78
c6ce00141f_c6ce00141f2_clean,163.8
c6ce00407e_c6ce00407e1_clean,122.19
c6ce00407e_c6ce00407e2_clean,129.93
c6ce00407e_c6ce00407e3_clean,91.47
c6ce00407e_c6ce00407e8_clean,84.53
c6ce00407e_c6ce00407e9_clean,34.86
c6ce00465b_c6ce00465b2_clean,75.89
c6cp03028a_c6cp03028a3_clean,92.6
c6dt01288d_c6dt01288d2_clean,438.66
c6dt03852b_c6dt03852b2_clean,71.12
c6dt04165e_c6dt04165e2_clean,110.36
c6ra27069g_c6ra27069g2_clean,188.75
c6ra28728j_c6ra28728j2_clean,178.5
c6ta07145g_c6ta07145g2_clean,433.47
CABDER_clean,201.16
CABJOH_clean,98.96
CABQEB_clean,221.69
CACBUG_clean,115.72
CACNOM_clean,168.74
CADPIH_clean,120.97
CADPII_clean,169.37
