Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,time
AFUKIX_clean_2,-25.7845,0.000167775,174.489
AXOCAT_clean_14,-14.6333,2.78798e-08,10.4761
AWEGEP_clean_62,-22.8143,2.22793e-05,20.1897
ASAMUE_clean_61,-27.8425,5.36185e-05,74.8824
ATIJUJ_clean5b_1,-18.3238,1.19888e-05,58.2097
ATIJUJ_manual_1,-18.3238,1.19888e-05,58.8686
ARUJED_clean_14,-32.6502,5.32577e-05,84.4375
AHIYUN_clean_15,-55.1694,1.41672,171.583
AMAGAX_clean_2,-28.2236,0.00046292,144.301
AXAFAG_clean_14,-17.4589,8.98171e-06,19.2572
AYUPOZ_clean_76,-14.898,1.27935e-07,5.7048
ANENIR_clean_1,-29.169,0.000330302,125.829
AVALEO_clean_15,20.2419,1.88597e-15,52.5362
AQEGUY_clean_2,-33.6243,0.00200937,103.741
ATOXEN_clean_2,-34.106,0.000352969,58.8832
ASOSUY_clean_6,-28.4529,0.000723548,76.4129
ATUYAR_clean_2,-32.8691,8.37426e-05,57.0196
ATUXUK_clean_2,-32.4379,8.28971e-05,57.9195
ATUXOE_clean_2,-32.5151,0.000100821,58.89
AZAFIS_clean_2,-27.68,0.00014201,9.36999
AXIPEE01_clean_15,-23.2451,8.12681e-05,23.568
AXUPEO_clean_2,-35.339,0.00614165,14.9453
AWASAU_clean_14,-27.2392,4.83862e-05,33.8993
AVEHAM_clean_14,-32.3762,0.000186758,58.2757
AWIBAL_clean_2,-33.4969,0.00104379,32.7114
AZAWAZ_clean_2,-15.9177,3.22326e-07,10.3765
AXINIF_clean_62,-26.8691,0.000301789,28.2396
AXIPEE_clean_15,-25.4383,0.000118482,26.396
AXOCEW_clean_13,-41.3427,0.0091171,25.1833
AVIMOI_clean_14,-31.2695,0.000865155,51.1307
AXINEA_clean_70,-37.2938,0.00416465,29.6213
AQERUL_clean_135,-49.4372,0.304559,113.315
AWAGEL_clean_13,-23.4892,8.37436e-05,43.5973
AXIMUP_clean_14,-25.8704,0.00029122,32.0927
AZIVAI_clean_94,-20.7404,0.000177167,12.2063
BAFHAU_clean_97,-13.5026,5.42339e-06,1.49059
AZEWEH_clean_2,-29.9409,2.24978e-05,14.1017
AVIMUO_clean_14,-30.6522,0.000520528,54.5753
BACMOH_clean_19,-17.0627,2.36727e-07,10.2559
AVUPIR_clean_h_1,-24.1008,3.68685e-06,46.9942
ASANAL_clean_14,-37.0904,0.00414685,95.1786
AWEWOP_clean_12,-28.6555,0.000278454,43.2524
BADHIA_clean_70,-21.2077,2.74119e-07,11.889
AVUPIR_SL_2,-11.6136,1.76568e-09,49.995
BADHOG_clean_70,-21.7585,3.45471e-07,11.9532
AWOKED_clean_14,-33.1148,5.62252e-05,40.0635
ASINAT_clean_2,-26.917,0.000233096,97.0839
BADHUM_clean_70,-22.0305,3.9773e-07,12.0334
ATEJOA_clean_2,-46.6911,0.0108922,92.3165
AWAJIT_clean_15,-38.0245,0.00557267,55.0081
AZIXUD_clean_19,-25.3698,0.000256166,23.9676
AXUBOL_clean_160,-31.7432,0.000822314,37.6954
AZEBUE_clean_33,-30.0431,0.000557026,29.4648
AMEJOS_charged_2,-35.0169,0.00035998,171.316
AYOXUJ_clean_15,-24.9404,4.21407e-05,37.3118
AWEJIW_clean_2,-31.476,0.00089076,54.7515
BAKFAV_clean_2,-29.9733,0.000283234,14.1117
BACMOH10_clean_19,-19.6312,2.15874e-07,26.4466
AWEJES_clean_58,-25.3744,8.17858e-05,56.3482
