Structures,D_i_vdw_uff298,D_f_vdw_uff298,D_if_vdw_uff298
AVUPIR_SL,3.11428,2.2453,2.81135
AWAGEL_clean,7.95503,6.92448,7.95503
AWAGOV_clean,7.37439,3.61819,7.36957
AWAHAI_clean,13.81083,2.54655,13.81083
AWAHEM_clean,7.47022,4.52096,7.46574
AWAJIT_clean,5.14711,2.65057,5.13596
AWAKEQ_clean,5.17792,3.14241,5.17385
AWAREV_clean,4.37617,3.80172,4.37617
AWARIZ_clean,4.37689,3.81172,4.37689
AWASAU_clean,4.93839,3.79705,4.93839
AWASEY_clean,12.23867,6.80347,12.23867
AWASOI_clean,5.10491,3.75706,4.56323
AWAWUR_clean,9.34301,3.72928,9.1371
AWEBIO_charged,3.31081,2.23366,3.30983
AWEDOW_charged,6.74176,4.03828,6.73737
AWEDUC_charged,3.99844,2.01314,3.99731
AWEGEP_clean,6.28154,3.69493,6.25932
AWEJES_clean,8.72243,7.19268,8.72046
AWEJIW_clean,10.38138,9.91593,10.38138
AWEVIJ_clean,9.84515,7.87956,9.84493
AWEWOP_clean,9.3375,6.48813,9.3375
AWEZOS01_clean,5.06186,2.64235,5.05853
AWEZOS_clean,5.0422,2.63464,4.72892
AWIBAK_clean,5.06302,2.61896,5.06302
AWIBAL_clean,4.42539,3.95213,4.42539
AWIBEO_clean,5.11301,2.73665,4.80512
AWIBIS_clean,5.10022,2.75611,4.85533
AWOFOI_clean,5.31632,4.17622,5.31096
AWOKED_clean,3.59216,2.00436,3.59216
AWUPAL_clean,17.6363,8.85412,17.6363
AWUPOZ_clean,17.63935,8.83786,17.6392
AXAFAG_clean,6.66197,6.11174,6.66187
AXAQAT_clean,3.71604,2.67893,3.4937
AXAWUT_clean,3.71485,2.24257,3.70874
AXIGAR_clean,5.97311,3.70723,5.80983
AXIMUP_clean,7.92089,4.92852,7.74558
AXINAX01_clean,19.50209,13.86619,19.50209
AXINAX_clean,19.48588,15.09073,19.20969
AXINEA_clean,4.59224,2.90438,4.21783
AXINIF_clean,9.54839,8.45663,9.54135
AXIPEE01_clean,6.29633,4.05672,6.13711
AXIPEE02_clean,5.89888,3.6276,5.8645
AXIPEE03_clean,5.9495,3.68333,5.87475
AXIPEE_clean,5.81953,3.51748,5.81953
AXOCAT_clean,3.60517,2.64439,3.60276
AXOCEW_clean,7.32018,5.19373,7.31682
AXOHIE_clean,5.38013,2.68558,5.37469
AXUBAW_clean5b,14.04403,4.73948,12.34326
AXUBAW_manual,14.04403,4.73948,14.04403
AXUBOL_clean,7.8697,3.68528,7.33736
AXUDII04_clean,4.80956,2.45128,4.80956
AXUHAD_clean,9.12904,4.93736,9.1218
