Structures,chem_comp,solvent_removed,framework_count,framework_mean_dim
ARAHIM02_clean,C1632H1632Nb204Ni4O408F816N816,1,1,3.0
ARAHIM_clean,C1632H1632Nb204Ni4O204F1020N816,1,1,3.0
ARIBOS_clean,Cd124H52C2480N124O496,1,1,3.0
ARINOF_clean,Cu62C1488H40N496,1,1,3.0
ARINUL_clean,N1632C5712H112Cu204,1,1,3.0
AROFAP_clean,Cd186H72C3069O1116,1,1,3.0
AROFET_clean,Cd124H48C2046O744,1,1,3.0
ARUCOH01_clean,Co4C6528H4488N816O1428,1,2,3.0
ARUCUN_clean,Co2C3264H2040N408O714,1,1,3.0
ARUDAU_clean,Co2C3264H2040N408O714,1,1,3.0
ARUJED_clean,Mn8C6120H5712N2040O1632,1,1,3.0
ARUYES,Na124Bi124H88C2728N248O1240,1,1,3.0
ARUYES_clean,Na124Bi124H32C1984O992,1,1,3.0
ARUYOB_clean,Zn372P496H16O1488,1,1,3.0
ARUYUH01_clean,Zn372P496H16O1488,1,1,3.0
ARUYUH_clean,Zn372P496H16O1488,1,1,3.0
ASACON_clean,Zn496H16C2480O2232,1,1,3.0
ASADAA_clean,Cd248H44C2480N248O1116,1,1,3.0
ASAHEJ_clean,U310O1364H56N372C1488,1,1,3.0
ASAJOU_clean,H2356O1364C2356N372Ni8,1,1,3.0
ASALAH_clean,Zn124C992H28N248O248,1,1,3.0
ASALIP_clean,Zn124H36C992N248O248,1,1,3.0
ASALOV_clean,Cd124N496C1984H76O496,1,1,3.0
ASAMUE_clean,Th744O5456N1488C5952H192,1,1,3.0
ASANAL_clean,Cd124O496N496C3844H160,1,1,3.0
ASECUY_clean,U248O1984C7440N744H120Na124,1,1,3.0
ASEJOZ01_clean,Cd372O992N992C2232H24,1,1,3.0
ASEJOZ_clean,Cd372N992C2232H24O992,1,1,3.0
ASEKAM_clean,O744N496C1116H20Cd248,1,1,3.0
ASEXED_clean,C9588H110F612N204O816Zn204,1,2,3.0
ASINAT_clean,Zn186O744N496C5580H116,1,2,3.0
ASIQEA_clean,N1632C5304H72O816Cu204,1,1,3.0
ASIQIE_clean,N1632C5304H72O816Cu204,1,1,3.0
ASIRUR_clean,Mn6O1020H1224C2244,1,1,3.0
ASOHUL_clean,O620C992V4,1,1,3.0
ASOSUY_clean,O1488C3348H72Cu372Si186,1,1,3.0
ASOVEL_clean,Ca124O496C3720H80,1,1,3.0
ASOYOY_clean,Cd496O992N2976C10912H256,1,1,3.0
ASUBIB_clean,O744C1488H18Eu124N186,1,1,3.0
ASUJIJ_clean,Zn248C2976N1240H56O992,1,1,3.0
ASUKEE01_clean,Cu992N2976C14880H384,1,2,3.0
ASUKEE_clean,Cu992N2976C14880H384,1,2,3.0
ASUWUI_clean,Zn248O744N744C4712H92,1,2,3.0
ATAFIK_clean,Zn496H16C2480O1984,1,1,3.0
ATAYAX_clean,C6732H60O2448N306F306Zn612,1,1,3.0
ATAYEB_clean,C6732H60O2448N306Cu612F612,1,1,3.0
ATEJOA_clean,Gd62O992C2046H40N62,1,1,3.0
ATEXII_clean,Zn248N868O496C2604H64,1,1,3.0
ATEYED_clean,C5712H5712N1632Co4,1,1,3.0
ATEZAC_clean,Er372O1984C9920H176,1,1,3.0
ATEZEG_clean,Yb372O1984C10912H208,1,1,3.0
ATEZIK_clean,Lu372O1984C10912H208,1,1,3.0
ATIBAG_clean,Mn12H744C744O1488,1,1,3.0
ATIBIO_clean,Mn12C1224O2448,1,1,3.0
ATIBOU01_clean,Mn12H744C744O1488,1,1,3.0
ATIBOU02_clean,Mn12O2448C1224H1224,1,1,3.0
ATIBOU_clean,Mn12H744C744O1488,1,1,3.0
ATIBUA_clean,Mn12H744C744O1488,1,1,3.0
ATICAH_clean,Mn12H744C744O1488,1,1,3.0
ATICEL_clean,Mn12H744C744O1488,1,1,3.0
ATIJUJ_clean5b,Co6P306C1836N306O918H2754,1,1,3.0
