Structures,Adsorption_enthalpy[kJ/mol],Henry_const[mol/kg/Pa],Minimum_energy_channel[kJ/mol],Barrier_energy[kJ/mol],Time[s]
AQIXUU_clean_2,-47.7843,0.0479045,-48.1496,-0.849641,0.903162
AQEGUY_clean_2,-33.4331,0.00154922,-35.2343,-26.4343,4.72948
APACAX_clean_122,-27.9795,0.000327257,-28.5376,-25.6376,13.8691
APAYUN_clean_15,-27.5524,0.000359391,-30.126,-22.326,11.7284
APAYIB_clean_15,-28.9664,0.000514437,-31.2713,-24.6713,11.8634
ALUKUO_clean_15,-16.1044,2.78584e-05,-19.3729,-13.7729,42.241
ALOLET_charged_159,-21.7948,6.27347e-05,-26.633,-18.833,46.9927
AQOTIK_clean_123,-29.453,0.000398323,-31.8968,-12.1968,0.778275
APAYOH_clean_15,-28.8018,0.0004792,-31.1542,-25.2542,12.6011
AMODUC_clean_1,-16.7119,3.47557e-05,-19.9262,-13.9262,29.532
AQOSEG_clean_88,-22.8644,9.4526e-05,nan,nan,3.31866
APAZOI_clean_15,-28.1631,0.00033464,-30.2026,-23.1026,13.0043
AQUDEX_clean_15,-33.7222,6.09218e-05,-34.3962,6.20384,1.88933
AQUDAT_clean_15,-32.7781,3.6898e-05,-33.4681,10.2319,3.6244
AQUCOF_clean_7,-20.124,3.14068e-05,-25.9394,-16.0394,4.62792
ALUKIC_clean_15,-16.0824,2.81608e-05,-19.3787,-13.7787,47.1978
AQUDAS_clean_7,-20.08,3.14035e-05,-25.7436,-16.1436,4.60849
APEBUU_clean_15,-32.3706,0.000341814,-34.3155,-16.6155,13.4482
ARAHIM01_clean_87,2.86635,1.23015e-11,nan,nan,0.149302
ARAHIM02_clean_140,-1.4084,8.02674e-11,nan,nan,0.146332
ARAHIM_clean_87,-1.19024,7.2863e-11,nan,nan,0.159434
ARIBOS_clean_14,46.2698,1.27339e-20,nan,nan,0.242374
ARAFOP_clean_24,-28.4524,0.000324558,-28.3478,-26.5478,1.43013
ARAFIJ_clean_24,-22.9486,0.00012426,-25.3856,-22.4856,2.75039
AQUDOH_clean_15,-33.3782,5.36725e-05,-34.0397,9.76033,3.57887
ARINOF_clean_2,-34.7206,0.000453731,-36.0414,0.0586016,1.80685
APAZEY_clean_15,-27.2416,0.000360416,-29.9958,-24.5958,18.673
ARUCOH01_clean_14,-35.4821,0.00354175,nan,nan,0.774175
AQIXUV_clean_2,-23.3225,5.67477e-05,-27.774,-18.074,11.5626
ARUCUN_clean_2,-37.4309,0.00447366,nan,nan,0.385748
ARINUL_clean_117,-37.0743,0.00139271,-37.9062,-21.5062,2.80846
ARUDAU_clean_2,-36.9267,0.00445864,nan,nan,0.420361
ARUYES_14,-nan,0,nan,nan,0.200734
ARAFEF_clean_24,-21.2293,7.82079e-05,-24.4955,-20.9955,5.22542
ARUJED_clean_14,-32.4233,4.15253e-05,nan,nan,0.437717
AQUCOG_clean_2,-18.9553,2.8889e-05,-20.7996,-15.8996,9.37293
AQUCOG_clean_2,-18.9553,2.8889e-05,-20.7994,-15.8994,9.37293
AQUCUM_clean_2,-18.8937,2.93752e-05,-20.7397,-16.1397,9.29623
AQUCUM_clean_2,-18.8937,2.93752e-05,-20.7395,-16.1395,9.29623
ARUYUH01_clean_56,-28.9838,0.000109627,-30.0414,-15.5414,1.6824
ARUYOB_clean_14,-27.585,6.43773e-05,-29.1994,18.9006,2.10686
ASAJOU_clean_12,-33.4728,0.000367239,nan,nan,0.341618
ASALAH_clean_19,-36.2072,0.000323759,nan,nan,0.0943834
APAZAU_clean_15,-27.5346,0.000387189,-30.2273,-24.8273,22.4727
ASALIP_clean_19,-30.7655,1.13254e-05,nan,nan,0.0811234
ASALOV_clean_9,-40.4586,0.00302921,nan,nan,0.234301
AQUDIB_clean_2,-18.9624,2.82493e-05,-20.8679,-15.6679,9.18519
AQUDIB_clean_2,-18.9624,2.82493e-05,-20.8677,-15.6677,9.18519
ASACON_clean_52,-27.0261,0.000194919,-27.6908,-25.0908,2.55372
ANOMOG_clean_12,-32.7581,0.000227447,-36.4927,-16.1927,31.9721
ARUYUH_clean_56,-28.5765,6.32588e-05,-29.5859,-8.28588,3.11181
ASAMUE_clean_61,-27.8527,4.36282e-05,nan,nan,1.16978
