Structures,CPU_time (s)
BEPPAP_clean_4,23.5105
BARZOK_clean_2,30.3723
BELVEV_charged_2,24.9263
BIXYEO_clean_14,8.35062
BIHBEB_clean_65,12.1127
BOCKOT_clean_14,4.54091
BONWAD_clean_14,1.57689
BELVAR_charged_2,25.7099
BOWSOW_clean_14,0.943788
BOTLED_clean_2,1.33104
BOWSUC_clean_61,0.908913
BOQYUD_clean_15,1.55827
BARZIE_clean_2,31.6954
BIYTEJ_4,8.97621
BOWRAH_clean_14,1.34785
BOWNUY_clean_221,1.66496
AWIBEO_clean_15,44.9855
BOXYEU_clean_33,1.61384
BIXXIR_clean_14,10.3189
BIYTOU_clean_14,10.0979
BEYSEF_clean_2,16.906
BABREE_clean_2,39.395
BUBQOE_clean_14,1.98316
BICPUA_clean_40,15.5093
BOXYIY_clean_2,3.25305
BOJYIK_clean_1,5.95637
BOPHEV_clean_14,4.75338
BEPPOD_clean_4,27.2853
BOYTEQ_clean_15,3.38532
BONNIC_clean_9,5.18402
BICDAU_clean_5,17.0319
BOWQAG_clean_14,4.82677
BOWQAG_SL_14,5.09864
BIYVIQ_clean_19,12.2318
BOKQEZ_clean_15,7.29427
BUJKEW01_clean_12,1.13932
AFUKET_clean_1,85.3676
BUDDIO_clean_14,1.95807
ATAYAX_clean_1,60.8509
BUCROH_charged_58,4.26045
BUCSIC_charged_58,4.1485
BEXVEH_clean_14,20.913
BUKMUQ01_clean_19,1.86773
BURHUS_clean_15,0.875513
BUKMUQ_clean_19,2.09407
BEXVIL_clean_7,20.922
BUKYAJ_clean_14,1.71317
BUGSAY_clean_14,3.50862
BARZOL_charged_14,36.7386
BUGSEC_clean_14,3.50227
BEPPIX_clean_4,30.7151
ASINAT_clean_2,64.3544
BOVHEB_clean_9,7.73515
BUGSOM_clean_14,3.51628
BUPVEP_clean_201,2.22823
BUBWOM_clean_54,6.37672
ATAYEB_clean_1,63.0084
BUGSIG_clean_14,3.73716
BUSGOM_clean_14,1.88315
BETZOR_clean_2,25.9327
BUSGIG_clean_14,2.20688
BUSQEM_clean_49,2.03135
BUSQIQ_clean_2,2.10972
BUKRUW03_clean_198,4.08438
BOPWIO_clean_14,9.75777
BUKRUW02_clean_198,4.51748
BORBEQ_clean_19,10.0603
BONWIL_clean_2,10.5791
AXUBAW_manual_1,50.7006
BUKRUW01_clean_198,5.29672
BUVHEH_clean_2,2.62632
BUSQUC_clean_15,3.70577
BUWGAC_clean_14,2.52168
BOYYOF_clean_88,10.3812
BULBER_clean_57,6.0322
BUCSEY_clean_14,9.82412
BOMCOX_clean_14,13.5081
c4ce00408f_c4ce00408f2_clean_225,1.89368
AXUBAW_clean5b_1,53.1395
c5cc06190c_c5cc06190c2_clean_19,0.890608
BUVKUA_clean_2,4.85444
BUCYAA_clean_15,9.32657
BUCSIC01_clean_14,10.8545
BUCSAU_clean_14,11.1464
c4ra13058h_c4ra13058h2_clean_23,1.69363
BIMDOR_charged_2,23.8182
BOPHIZ_clean_2,13.3451
BUWGEG_clean_14,4.7195
BONMEX_clean_2,14.126
AXOHIE_clean_14,54.4393
BUYNAL_charged_148,4.00099
BUWMIR_clean_9,4.33199
BUWMAJ_clean_5,4.829
BOWZUK_clean_52,13.8049
BIPBAF_clean_14,25.0085
BUWLUC_clean_5,5.71422
BOHWOM_clean_15,17.2195
c5dt00281h_c5dt00281h2_clean_10,1.52412
BUWMEN_clean_9,5.82926
BOZFIH_clean_14,14.4561
c5ce00931f_c5ce00931f2_clean_15,2.84036
c4dt02048k_c4dt02048k2_clean_56,5.64993
BOLPAU_clean_56,17.9962
c5cc10203k_c5cc10203k2_clean_200,3.77886
BUXTOF_clean_15,6.56173
BOLPEY_clean_2,18.2972
c5sc03494a_c5sc03494a2_clean_220,0.97244
BURJOO_clean_2,11.7758
BUVXOG_clean_2,9.63929
c5dt03710g_c5dt03710g2_clean_123,3.05741
BUCTUQ_clean_15,15.3534
BUCVIG_clean_15,14.8529
c5dt02374b_c5dt02374b2_clean_7,3.8745
c5ce00677e_c5ce00677e2_clean_14,5.60465
c5qi00128e_c5qi00128e2_clean_140,2.34098
c5dt03038b_c5dt03038b2_clean_11,4.37567
BUVWOF02_clean_2,10.8903
BOWDIC_clean_13,19.1281
c6cc00589f_c6cc00589f2_clean_217,2.51989
BUBDIL_clean_4,18.4155
BUSNAF_clean_2,13.4227
c5ce00923e_c5ce00923e2_clean_14,7.41639
c5ce02503f_c5ce02503f2_clean_221,7.53478
c5cp03920g_c5cp03920g2_clean_5,7.97423
c5ta04552e_c5ta04552e2_clean_2,5.60288
c5cc01886b_c5cc01886b2_clean_2,10.8629
BIBMEG_clean_2,35.9817
c4dt03702b_c4dt03702b2_clean_55,11.8224
