Structures,CPU_time (s)
BOWSOW_clean_14,0.568833
ASEXED_clean_2,23.6345
BOWSUC_clean_61,0.500918
BIYTOU_clean_14,3.41277
BOWRAH_clean_14,0.66344
BICDAU_clean_5,4.94023
BIRGIU_clean_14,3.89829
BIYTEJ_4,3.58566
BIXXIR_clean_14,3.81058
BIRSEC_clean_32,4.01646
ATAYAX_clean_1,23.259
BAXREY_clean_60,12.3454
BIRSIG_clean_32,4.06698
BOXYEU_clean_33,0.976462
BEPWEA_clean_2,9.41113
BIQVII_clean_2,4.83815
BOKQEZ_clean_15,3.01702
BUBQOE_clean_14,1.16546
BOYTEQ_clean_15,1.4893
BERQIA_clean_43,9.38712
BONNIC_clean_9,2.56995
BOPHEV_clean_14,2.56495
BOWQAG_clean_14,2.21113
BOJYIK_clean_1,3.40049
BOXYIY_clean_2,1.89731
BUDDIO_clean_14,1.13233
BOWQAG_SL_14,2.32774
BEXVEH_clean_14,7.54381
BUJKEW01_clean_12,0.76139
BUCROH_charged_58,1.97548
BUCSIC_charged_58,1.95524
ATAYEB_clean_1,24.9336
BUKMUQ01_clean_19,1.0394
BEYSEF_clean_2,7.52794
BURHUS_clean_15,0.405821
BUKMUQ_clean_19,1.1466
BUGSAY_clean_14,1.62307
BOYYOF_clean_88,2.69325
BUKYAJ_clean_14,0.985206
BIMDOR_charged_2,6.79523
BUGSEC_clean_14,1.62309
BUPVEP_clean_201,0.9959
BUGSOM_clean_14,1.62211
BUGSIG_clean_14,1.66417
BUKRUW03_clean_198,1.50116
BELVAR_charged_2,13.6481
BUKRUW02_clean_198,1.57708
BUSGOM_clean_14,0.957561
BUSGIG_clean_14,1.24355
BUBWOM_clean_54,3.35808
BUKRUW01_clean_198,2.13523
BUSQEM_clean_49,1.15353
BUSQIQ_clean_2,1.14512
BORBEQ_clean_19,4.63693
AZAWAB_clean_2,19.5483
BOVHEB_clean_9,4.61619
BEXVIL_clean_7,9.336
BONWIL_clean_2,5.02278
AWIBEO_clean_15,21.7587
BOWZUK_clean_52,4.40244
BOPWIO_clean_14,5.23301
BUSQUC_clean_15,1.63777
BUVHEH_clean_2,1.57702
BOMCOX_clean_14,5.98154
BUWGAC_clean_14,1.10086
BULBER_clean_57,2.85875
BETZOR_clean_2,11.6623
c4ce00408f_c4ce00408f2_clean_225,0.630075
BOPHIZ_clean_2,6.18444
BUCSEY_clean_14,4.94295
BUWGEG_clean_14,1.59956
c5cc06190c_c5cc06190c2_clean_19,0.589253
BUCYAA_clean_15,4.80827
c4ra13058h_c4ra13058h2_clean_23,1.01905
BOLPEY_clean_2,7.0975
BUVKUA_clean_2,2.62909
BONMEX_clean_2,6.93151
BUYNAL_charged_148,1.69205
BIPBAF_clean_14,9.64008
BUCSAU_clean_14,5.67621
BUCSIC01_clean_14,5.64325
BUWMIR_clean_9,2.2752
BARZOL_charged_14,18.8404
c5cc10203k_c5cc10203k2_clean_200,1.02224
BOHWOM_clean_15,8.18915
BUWMAJ_clean_5,2.49386
BOLPAU_clean_56,8.08524
BUWMEN_clean_9,2.75718
BUWLUC_clean_5,2.92927
c5dt00281h_c5dt00281h2_clean_10,0.84761
c5ce00931f_c5ce00931f2_clean_15,1.34431
AWAWUR_clean_1,25.0939
c5dt03710g_c5dt03710g2_clean_123,1.02691
BURJOO_clean_2,5.25384
c4dt02048k_c4dt02048k2_clean_56,3.21791
BUVXOG_clean_2,4.25781
BUXTOF_clean_15,3.74542
c5ce02503f_c5ce02503f2_clean_221,2.02254
c5sc03494a_c5sc03494a2_clean_220,0.509516
BUVWOF02_clean_2,4.65591
